RUNNUMBER,BEAM_CURRENT,CURRENT_MIN,CURRENT_MEAN,CURRENT_MAX,CURRENT_SIGMA,PRESSURE,PRESSURE_MIN,PRESSURE_MEAN,PRESSURE_MAX,PRESSURE_SIGMA,PSC_RATE,PSC_MIN,PSC_MEAN,PSC_MAX,PSC_SIGMA,D1,D1_MIN,D1_MEAN,D1_MAX,D1_SIGMA,D3,D3_MIN,D3_MEAN,D3_MAX,D3_SIGMA,D4,D4_MIN,D4_MEAN,D4_MAX,D4_SIGMA,D5,D5_MIN,D5_MEAN,D5_MAX,D5_SIGMA,PRESSURE_MIN (MMHG),PRESSURE_MEAN (MMHG),PRESSURE_MAX (MMHG),PRESSURE_SIGMA (MMHG),AVG_TEMP,CALIB_PRES,GAS_DENSITY,MIN_A_MEAN,MIN_A_STD,MEAN_A_MEAN,MEAN_A_STD,MAX_A_MEAN,MAX_A_STD,SIGMA_A_MEAN,SIGMA_A_STD,MIN_B_MEAN,MIN_B_STD,MEAN_B_MEAN,MEAN_B_STD,MAX_B_MEAN,MAX_B_STD,SIGMA_B_MEAN,SIGMA_B_STD,MIN_C_MEAN,MIN_C_STD,MEAN_C_MEAN,MEAN_C_STD,MAX_C_MEAN,MAX_C_STD,SIGMA_C_MEAN,SIGMA_C_STD,MIN_D_MEAN,MIN_D_STD,MEAN_D_MEAN,MEAN_D_STD,MAX_D_MEAN,MAX_D_STD,SIGMA_D_MEAN,SIGMA_D_STD,MIN_E_MEAN,MIN_E_STD,MEAN_E_MEAN,MEAN_E_STD,MAX_E_MEAN,MAX_E_STD,SIGMA_E_MEAN,SIGMA_E_STD,MIN_F_MEAN,MIN_F_STD,MEAN_F_MEAN,MEAN_F_STD,MAX_F_MEAN,MAX_F_STD,SIGMA_F_MEAN,SIGMA_F_STD,MIN_G_MEAN,MIN_G_STD,MEAN_G_MEAN,MEAN_G_STD,MAX_G_MEAN,MAX_G_STD,SIGMA_G_MEAN,SIGMA_G_STD,MIN_H_MEAN,MIN_H_STD,MEAN_H_MEAN,MEAN_H_STD,MAX_H_MEAN,MAX_H_STD,SIGMA_H_MEAN,SIGMA_H_STD,MIN_I_MEAN,MIN_I_STD,MEAN_I_MEAN,MEAN_I_STD,MAX_I_MEAN,MAX_I_STD,SIGMA_I_MEAN,SIGMA_I_STD,GAIN,INDEX,THICKNESS,ID,THICKNESS_RL,CALIB_PRES_MEAN,CALIB_PRES_MAX,CALIB_PRES_MIN,GAS_DENSITY_MEAN,GAS_DENSITY_MAX,GAS_DENSITY_MIN,D1MAX_D5MAX_DIFF,D1MEAN_D5MEAN_DIFF,RADLENGTH_OVER_PSC_MEAN,PSC_MEAN_OVER_CURRENT_MEAN,PSC_MAX_OVER_CURRENT_MAX,AMAX_IMAX_DIFF,MEAN_A_OVER_PSC_MEAN,MAX_A_OVER_PSC_MAX,SUM_A_I_MEAN,SUM_A_I_MAX,A_MEAN_PLUS_STD,A_MEAN_MINUS_STD,A_MAX_PLUS_STD,A_MAX_MINUS_STD,a1,a2,b1,b2,c1,c2,A1,A2,B1,B2,C1,C2
51579,IBCAD00CRCUR6,193.5,196.85,199.5,1.5736,RESET:i:GasPanelBarPress1,100.08,100.08,100.08,0.0,PSC:coinc:scaler:rate,3196.6,3317.4,3444.4,57.627,GAS:i::CDC_Temps-CDC_D1_Temp,299.35,299.35,299.35,273.15,GAS:i::CDC_Temps-CDC_D3_Temp,299.04999999999995,299.04999999999995,299.04999999999995,273.15,GAS:i::CDC_Temps-CDC_D4_Temp,298.95,299.048,299.04999999999995,273.163734,GAS:i::CDC_Temps-CDC_D5_Temp,298.25,298.25,298.25,273.15,750.6620495999999,750.6620495999999,750.6620495999999,0.0,572.0745,101.38712,0.3391730018784008,4.8125,0.2748376143938712,5.001725,0.2646654100665863,5.2375,0.2825268634509442,0.110119625,0.0702099237978252,2.655555555555556,0.3004626062886656,2.8273222222222225,0.2403598800641329,3.0,0.2692582403567251,0.0860631111111111,0.0741264779371117,1.9545454545454544,0.1213559752433836,2.131863636363636,0.1030599754776535,2.3181818181818183,0.2182575626097837,0.0896454545454545,0.0700625350802604,1.3642857142857143,0.1499083969380217,1.5338785714285714,0.1165132754309497,1.707142857142857,0.2092634913003431,0.0796600714285714,0.0577110456158214,0.9882352941176472,0.1363925994197287,1.176819411764706,0.1522883836045361,1.3294117647058823,0.1992633492465214,0.0789225882352941,0.058929266564945,0.9,0.2380476142847616,1.0580089473684209,0.2429777095147878,1.2526315789473683,0.2502630195361839,0.0791933157894737,0.046213681699558,0.7476190476190476,0.1435933411375597,0.8660823809523809,0.1078237362970122,1.0285714285714287,0.1764733893335115,0.0657847142857142,0.0462963621628555,1.05,0.300723764622445,1.1737179166666667,0.285310496309138,1.3624999999999996,0.2261444324935417,0.07470775,0.0507291567480631,1.076923076923077,0.2832775208980653,1.1860134615384614,0.3028251564179213,1.3538461538461537,0.2956088892178572,0.064927,0.0417369383563289,0.164,10,47,11000.0,0.00039,101.38712000000001,101.38712000000001,101.38712000000001,0.17722712688644576,0.17722712688644576,0.17722712688644576,1.1000000000000227,1.1000000000000227,1.1756194610236933e-07,16.85242570485141,16.62857142857143,3.8836538461538463,0.0015077244227407007,0.001520584136569504,16.955431548305064,18.58978560139551,5.111844625000001,5.111844625000001,5.347619625,5.347619625,1.01497,-0.0778272,-0.100347,-0.46047,-0.00277819,0.307396,1.01497,0.0778272,-0.100347,0.46047,-0.00277819,-0.307396
50941,IBCAD00CRCUR6,441.0,450.19,465.0,5.9921,RESET:i:GasPanelBarPress1,100.87,100.87,100.87,0.0,PSC:coinc:scaler:rate,3477.6,3706.3,3877.3,72.907,GAS:i::CDC_Temps-CDC_D1_Temp,299.35,299.35,299.35,273.15,GAS:i::CDC_Temps-CDC_D3_Temp,298.95,298.95,298.95,273.15,GAS:i::CDC_Temps-CDC_D4_Temp,298.95,299.047,299.04999999999995,273.165807,GAS:i::CDC_Temps-CDC_D5_Temp,298.25,298.25,298.25,273.15,756.5875394,756.5875394,756.5875394,0.0,572.04925,102.22768,0.3420138391113393,4.1,0.3338091841585122,4.2148125,0.21151756048342,4.300000000000001,0.177281052085584,0.056744375,0.0495499988379342,2.311111111111112,0.3370624736026114,2.4238555555555554,0.2132155136892664,2.488888888888889,0.2522124325070259,0.0353084444444444,0.0343991012604657,1.6909090909090907,0.1300349603340997,1.8165454545454545,0.1321065052420687,1.9,0.1843908891458578,0.0491852727272727,0.033811704367248,1.207142857142857,0.1542439911024373,1.2725714285714285,0.1621644342519768,1.3571428571428574,0.1910065875395833,0.0397819285714285,0.0373145476631058,0.823529411764706,0.1855040827202527,0.9487876470588232,0.1414306999704012,1.088235294117647,0.1866894243830394,0.0707069999999999,0.0618460185450526,0.8157894736842105,0.2267234191077972,0.8917605263157896,0.2358222171814485,1.0052631578947369,0.265567911821955,0.0557535263157894,0.0533688915904807,0.6047619047619047,0.1321975433818286,0.6893342857142857,0.1162154475778254,0.7809523809523808,0.1435933411375598,0.0526653333333333,0.060314936419873,0.8624999999999999,0.3281204709832364,0.9780770833333334,0.2343436893794939,1.0583333333333331,0.2430184581765194,0.0493998333333333,0.0341440721708146,0.8846153846153846,0.2935197542821371,0.99434,0.2566190618329043,1.103846153846154,0.2615045226848198,0.0572240769230769,0.0488790478400903,0.178,9,17,10045.0,0.00014,102.22768,102.22768,102.22768,0.17870433358666235,0.17870433358666235,0.17870433358666235,1.1000000000000227,1.1000000000000227,3.777352076194587e-08,8.232746173837713,7.970537634408602,3.196153846153847,0.0011372021962604212,0.0011090191628194879,14.230084481094671,15.082662066176,4.271556875,4.271556875,4.356744375000001,4.356744375000001,1.01192,-0.0637958,-0.0959215,-0.478182,-0.0052701,0.284294,1.01192,0.0637958,-0.0959215,0.478182,-0.0052701,-0.284294
50856,IBCAD00CRCUR6,445.5,453.5,462.0,4.1591,RESET:i:GasPanelBarPress1,97.423,97.444,97.445,0.0035348,PSC:coinc:scaler:rate,3452.8,3713.8,4019.1,94.169,GAS:i::CDC_Temps-CDC_D1_Temp,299.35,299.428,299.45,273.19121199999995,GAS:i::CDC_Temps-CDC_D3_Temp,299.04999999999995,299.04999999999995,299.04999999999995,273.15,GAS:i::CDC_Temps-CDC_D4_Temp,299.15,299.15,299.15,273.15,GAS:i::CDC_Temps-CDC_D5_Temp,298.35,298.35,298.35,273.15,730.73290226,730.89041528,730.8979158999999,0.0265131915759999,572.1445,98.582416,0.3297131418805363,5.1875,0.4086126352846734,5.365475,0.3183719152635353,5.425,0.3011881234615431,0.05488675,0.0268826166708419,2.966666666666667,0.2061552812808831,3.0628777777777776,0.2482706828130224,3.1444444444444444,0.2788866755113585,0.0511448888888888,0.0379426944596863,2.1545454545454548,0.1213559752433835,2.248345454545454,0.1421256300857545,2.372727272727273,0.2053821272209881,0.0704516363636363,0.0647819750552153,1.5071428571428571,0.205554730553075,1.6263785714285717,0.1677050440898747,1.7571428571428571,0.1988980632395388,0.0672983571428571,0.0525015755318273,1.1176470588235294,0.1704233483037429,1.2219823529411764,0.1554271181104431,1.3176470588235294,0.1776066373958439,0.045423,0.049760634347092,0.9947368421052633,0.2320768172886017,1.0964615789473684,0.2466325015362636,1.2052631578947368,0.2717713176970796,0.0533697894736842,0.0388444146286452,0.8047619047619049,0.1532194193834139,0.9006271428571431,0.1181877960342292,0.9809523809523808,0.1327367606168224,0.0458194761904761,0.0329161619142011,1.125,0.3082207001484487,1.205865,0.3032084107041544,1.325,0.3068068362709811,0.0470514583333333,0.0276308921034586,1.130769230769231,0.3484471044726656,1.2316769230769231,0.3405278686013141,1.3192307692307692,0.3677164459408698,0.0464475769230769,0.0295669816818329,0.172,3,40,0.0,0.000449,98.58241600000001,98.58348,98.560072,0.17230335343606382,0.17230521310612965,0.1722643003646806,1.099999999999966,1.0779999999999745,1.2090042544024988e-07,8.189195148842337,8.03852813852814,4.105769230769231,0.0014447398890624157,0.0013498046826403922,17.959689801574413,18.84740794121599,5.42036175,5.42036175,5.4798867499999995,5.4798867499999995,1.02435,-0.0947565,-0.108877,-0.430871,-0.000871138,0.269174,1.02435,0.0947565,-0.108877,0.430871,-0.000871138,-0.269174
51576,IBCAD00CRCUR6,195.0,201.29,208.5,2.9998,RESET:i:GasPanelBarPress1,99.973,99.976,99.995,0.0071462,PSC:coinc:scaler:rate,3356.4,3462.0,3695.1,73.541,GAS:i::CDC_Temps-CDC_D1_Temp,299.35,299.35,299.35,273.15,GAS:i::CDC_Temps-CDC_D3_Temp,298.95,299.021,299.04999999999995,273.195176,GAS:i::CDC_Temps-CDC_D4_Temp,299.04999999999995,299.04999999999995,299.04999999999995,273.15,GAS:i::CDC_Temps-CDC_D5_Temp,298.25,298.25,298.25,273.15,749.8594832599999,749.88198512,750.0244969,0.053600930644,572.0677499999999,101.276464,0.3388104721114755,5.125,0.2915475947422651,5.27275,0.2735714845206951,5.4125,0.2748376143938714,0.079328,0.0364719945750943,2.9333333333333336,0.2236067977499789,3.000377777777778,0.2440391709223018,3.111111111111111,0.3018461712712472,0.0450526666666666,0.0376698972290873,2.1,0.1095445115010333,2.242,0.1182244052638878,2.363636363636364,0.185864075456917,0.0759557272727272,0.0612452376582717,1.5071428571428571,0.1328057326976612,1.6149357142857144,0.1190897825956588,1.7499999999999998,0.1652503927610834,0.0513405,0.0272271986941508,1.1176470588235297,0.1629236558853834,1.241329411764706,0.1529722759387541,1.3941176470588237,0.2164214298402947,0.074553294117647,0.0372235666459514,1.0052631578947369,0.2570639440781792,1.107791052631579,0.2353651537716268,1.2368421052631575,0.2241292442512912,0.0573827368421052,0.0325949743516152,0.7714285714285716,0.161687529336239,0.8925523809523812,0.1040393711007886,0.9809523809523808,0.1289148851725339,0.0463123333333333,0.0328699165747851,1.1125000000000005,0.3068953935931519,1.22817,0.3081856883368404,1.3541666666666663,0.2873857681064685,0.0632290416666666,0.0426027963487999,1.1384615384615384,0.3007682470965617,1.2631465384615386,0.276559585116008,1.3923076923076922,0.2512736785627606,0.070423923076923,0.0528011083602782,0.164,10,47,11000.0,0.00039,101.276464,101.29668000000001,101.273272,0.17703578640816584,0.17707112487987658,0.17703020664947466,1.1000000000000227,1.1000000000000227,1.1265164644714038e-07,17.19906602414427,16.60431654676259,4.020192307692307,0.0015230358174465628,0.0014647776785472653,17.863052875873695,18.9956339669962,5.352078000000001,5.352078000000001,5.491828,5.491828,1.01035,-0.0555236,-0.0899099,-0.509207,-0.010071,0.362678,1.01035,0.0555236,-0.0899099,0.509207,-0.010071,-0.362678
51165,IBCAD00CRCUR6,196.5,200.44,205.5,2.1547,RESET:i:GasPanelBarPress1,99.472,99.472,99.472,0.0,PSC:coinc:scaler:rate,2243.1,2331.0,2438.1,43.795,GAS:i::CDC_Temps-CDC_D1_Temp,299.35,299.35,299.35,273.15,GAS:i::CDC_Temps-CDC_D3_Temp,298.95,298.969,299.04999999999995,273.189303,GAS:i::CDC_Temps-CDC_D4_Temp,298.95,299.047,299.04999999999995,273.165807,GAS:i::CDC_Temps-CDC_D5_Temp,298.25,298.25,298.25,273.15,746.10167264,746.10167264,746.10167264,0.0,572.054,100.740208,0.3370319835131012,6.225,0.4131758532565591,6.356262500000001,0.39642106740002,6.4625,0.3997767233987347,0.07141075,0.0355724270016218,3.577777777777778,0.2682246156571848,3.6503111111111113,0.2821645771728108,3.7666666666666666,0.1936491673103706,0.0538426666666666,0.0365768093810818,2.5909090909090904,0.1445997610962444,2.666581818181818,0.1585019357495789,2.754545454545454,0.1967924610529395,0.0409468181818181,0.0439405654078738,1.7999999999999996,0.2038098661460271,1.8992857142857145,0.1927210932415542,2.014285714285714,0.2348719548282323,0.0639746428571428,0.0578034976205621,1.3176470588235296,0.1975958442049296,1.4284352941176472,0.1727770490443408,1.5176470588235291,0.1975958442049296,0.0494268823529411,0.0423709383405689,1.194736842105263,0.2548936253300936,1.2670031578947367,0.2304927677113784,1.3526315789473682,0.2365690433693761,0.0479044736842105,0.0570135072722717,0.9714285714285712,0.1146423008442221,1.0357980952380952,0.1089907768858928,1.1428571428571428,0.1468721504282842,0.0406678571428571,0.0325164741235665,1.2875,0.3674974119991689,1.3932733333333334,0.3534284019819803,1.508333333333333,0.3147347629584199,0.0617009166666666,0.0479727714210763,1.3230769230769233,0.3860649606557864,1.4191773076923075,0.3974336255281649,1.5307692307692309,0.3575127754575836,0.0565717692307692,0.0393101978863578,0.137,3,40,0.0,0.000449,100.740208,100.740208,100.740208,0.17610261968275723,0.17610261968275723,0.17610261968275723,1.1000000000000227,1.1000000000000227,1.9262119262119263e-07,11.629415286369985,11.343065693430656,4.93173076923077,0.0027268393393393396,0.002650629588614085,21.116128331854767,22.05023618022844,6.427673250000001,6.427673250000001,6.53391075,6.53391075,1.05015,0.0674703,-0.155132,-0.819157,0.0384862,0.543672,1.05015,-0.0674703,-0.155132,0.819157,0.0384862,-0.543672
51175,IBCAD00CRCUR6,193.5,199.76,205.5,3.0236,RESET:i:GasPanelBarPress1,99.646,99.647,99.668,0.0035834,PSC:coinc:scaler:rate,3588.2,3779.8,3971.3,78.374,GAS:i::CDC_Temps-CDC_D1_Temp,299.35,299.35,299.35,273.15,GAS:i::CDC_Temps-CDC_D3_Temp,298.95,298.953,299.04999999999995,273.166434,GAS:i::CDC_Temps-CDC_D4_Temp,298.95,299.039,299.04999999999995,273.181428,GAS:i::CDC_Temps-CDC_D5_Temp,298.25,298.25,298.25,273.15,747.40678052,747.41428114,747.57179416,0.026877721708,572.048,100.926408,0.3376617039926665,5.5375000000000005,0.4103569874424675,5.7044125,0.3494371246836016,5.8125,0.3270539492412311,0.08261325,0.0437005672920027,3.1555555555555554,0.3086709862908688,3.2371,0.3097621022655935,3.311111111111112,0.3407508050043478,0.0515356666666666,0.0413144900640199,2.309090909090909,0.1640399064529448,2.420981818181818,0.1458033046140025,2.5,0.1732050807568877,0.0424951818181818,0.0260518193138912,1.65,0.1605279750362246,1.727507142857143,0.168550912026767,1.8571428571428568,0.2064881658530644,0.0504280714285714,0.0329353027860666,1.2176470588235293,0.1776066373958439,1.3146529411764707,0.168308374411551,1.405882352941176,0.1819017187772497,0.0548988235294117,0.0454004025081762,1.068421052631579,0.2625783091213983,1.1755600000000002,0.239987950993841,1.263157894736842,0.2408561726558669,0.045141947368421,0.0273138197916034,0.8714285714285713,0.1553797192134712,0.9578790476190476,0.1058369818591196,1.0333333333333332,0.1016530045465127,0.0470643809523809,0.0519430764303349,1.2083333333333333,0.3269312740791472,1.29638875,0.3299595892162567,1.416666666666667,0.3331883742774096,0.0537655416666666,0.0252224693339596,1.226923076923077,0.3482041841307393,1.3248826923076924,0.3651511490827621,1.4423076923076923,0.3689694588153085,0.0546625384615384,0.0328411977798992,0.146,10,47,11000.0,0.00039,100.92640800000001,100.94875200000001,100.92534400000001,0.1764299639191117,0.176469023578441,0.17642810393533412,1.1000000000000227,1.1000000000000227,1.0318006243716597e-07,18.92170604725671,18.393187347931875,4.3701923076923075,0.0015091836869675643,0.0014636265202830306,19.15936489214217,20.042101908239683,5.78702575,5.78702575,5.89511325,5.89511325,1.02417,-0.118145,-0.103712,-0.396047,0.000400264,0.222232,1.02417,0.118145,-0.103712,0.396047,0.000400264,-0.222232
51542,IBCAD00CRCUR6,198.0,201.63,208.5,2.3804,RESET:i:GasPanelBarPress1,99.995,100.01,100.02,0.0079298,PSC:coinc:scaler:rate,3196.7,3363.0,3580.7,74.086,GAS:i::CDC_Temps-CDC_D1_Temp,299.35,299.35,299.35,273.15,GAS:i::CDC_Temps-CDC_D3_Temp,298.95,298.95,298.95,273.15,GAS:i::CDC_Temps-CDC_D4_Temp,298.95,299.015,299.04999999999995,273.197789,GAS:i::CDC_Temps-CDC_D5_Temp,298.25,298.25,298.25,273.15,750.0244969,750.1370062,750.2120123999999,0.059478416476,572.04125,101.31264000000002,0.3389615453781266,4.9125000000000005,0.327053949241231,5.1055875,0.2954313139293123,5.2375,0.2615202805574687,0.091957125,0.0530584316645001,2.733333333333333,0.3201562118716423,2.912033333333333,0.2222913797249008,2.988888888888889,0.2472066162365221,0.0746986666666666,0.0345325781835066,2.0545454545454547,0.0820199532264724,2.1283727272727275,0.1201555000065256,2.263636363636364,0.2062654952856983,0.051259,0.055111307814277,1.4428571428571428,0.1650840611711114,1.5627071428571429,0.1128744057947437,1.6857142857142855,0.170326125450528,0.0551908571428571,0.0267167436605619,1.0647058823529412,0.1366618841822228,1.1887800000000002,0.1474598608096454,1.276470588235294,0.1821037196376898,0.0582123529411764,0.0590677229213861,0.9578947368421056,0.2063324972349355,1.068473157894737,0.2349496179101816,1.1789473684210523,0.2678700915834246,0.0502185263157894,0.0300468059207785,0.7523809523809525,0.1631534480758761,0.8714628571428572,0.1125277689347325,0.9523809523809526,0.120909253653505,0.040424238095238,0.0330605842415175,1.0791666666666668,0.3064227921291623,1.190243333333333,0.2961755226457662,1.3166666666666669,0.2776714772448951,0.0563453749999999,0.0485384923699625,1.103846153846154,0.2986379335995604,1.2073723076923075,0.3126961772367254,1.323076923076923,0.3265672271465002,0.0503470384615384,0.0448179364535948,0.143,10,47,11000.0,0.00039,101.31264000000002,101.32328,101.29668000000001,0.1771072278441459,0.17712582790139697,0.1770793277582692,1.1000000000000227,1.1000000000000227,1.1596788581623551e-07,16.679065615235828,16.1294964028777,3.914423076923077,0.0015181645851917933,0.001462702823470271,17.23503235952644,18.223282037020425,5.197544625000001,5.197544625000001,5.329457125,5.329457125,1.03335,-0.103453,-0.117144,-0.434654,0.00452342,0.318032,1.03335,0.103453,-0.117144,0.434654,0.00452342,-0.318032
51272,IBCAD00CRCUR6,196.5,199.67,204.0,1.9233,RESET:i:GasPanelBarPress1,99.123,99.123,99.123,0.0,PSC:coinc:scaler:rate,3846.0,3965.1,4128.7,58.959,GAS:i::CDC_Temps-CDC_D1_Temp,299.35,299.35,299.35,273.15,GAS:i::CDC_Temps-CDC_D3_Temp,299.04999999999995,299.04999999999995,299.04999999999995,273.15,GAS:i::CDC_Temps-CDC_D4_Temp,299.04999999999995,299.04999999999995,299.04999999999995,273.15,GAS:i::CDC_Temps-CDC_D5_Temp,298.25,298.25,298.25,273.15,743.48395626,743.48395626,743.48395626,0.0,572.0749999999999,100.368872,0.335766068411809,6.075,0.4652188425123938,6.2545875,0.3925758395793464,6.3625,0.3335416016031583,0.0833976249999999,0.0436824785270691,3.5,0.2499999999999998,3.5688,0.2671816704042401,3.6666666666666665,0.3162277660168379,0.0438731111111111,0.0292177939937482,2.5545454545454542,0.1694912172570388,2.647,0.1614124406605636,2.718181818181818,0.2040499047693079,0.0459450909090909,0.0363962086114873,1.7857142857142858,0.2032699715124722,1.9357214285714284,0.1656919114063644,2.0571428571428574,0.2064881658530645,0.0799281428571428,0.0653104862270125,1.3176470588235296,0.2128241472367711,1.4445176470588237,0.1779689904003438,1.61764705882353,0.1704233483037428,0.0752275294117647,0.0342123591120914,1.173684210526316,0.2663375161606413,1.2945315789473684,0.2472723016627431,1.431578947368421,0.2887764063518643,0.0674661578947368,0.0529861482687935,0.9666666666666668,0.1494434118097326,1.0449157142857142,0.1173409160340683,1.1380952380952378,0.1359271513575948,0.039040619047619,0.0301966768113251,1.3416666666666666,0.405308971426541,1.4298679166666668,0.3711701661898275,1.5375,0.3187100358578653,0.0518649166666666,0.0499559709038797,1.3884615384615384,0.4217363376109989,1.4676980769230772,0.3959364107835421,1.5653846153846152,0.3762364232153051,0.0497873461538461,0.0452532264802785,0.143,11,47,11045.0,0.00039,100.36887200000001,100.36887200000001,100.36887200000001,0.1754470515229647,0.1754470515229647,0.1754470515229647,1.1000000000000227,1.1000000000000227,9.835817507755164e-08,19.858266139129565,19.436764705882354,4.797115384615385,0.0015774097752894,0.0015410419744713833,21.08763986245308,22.09469720166315,6.337985125,6.337985125,6.445897625,6.445897625,1.03394,-0.0954614,-0.126587,-0.429145,0.0147857,0.246426,1.03394,0.0954614,-0.126587,0.429145,0.0147857,-0.246426
51069,IBCAD00CRCUR6,174.0,180.78,186.0,2.4959,RESET:i:GasPanelBarPress1,101.06,101.06,101.06,0.0,PSC:coinc:scaler:rate,3256.5,3367.2,3451.6,47.979,GAS:i::CDC_Temps-CDC_D1_Temp,299.25,299.25,299.25,273.15,GAS:i::CDC_Temps-CDC_D3_Temp,298.85,298.904,298.95,273.199855,GAS:i::CDC_Temps-CDC_D4_Temp,298.95,298.95,298.95,273.15,GAS:i::CDC_Temps-CDC_D5_Temp,298.15,298.152,298.25,273.164741,758.0126572,758.0126572,758.0126572,0.0,571.9639999999999,102.42984,0.3427879550489602,4.512499999999999,0.37961446607992,4.67585,0.3040439347951446,4.75,0.2507132682112032,0.056534,0.0385299560008647,2.5666666666666664,0.2449489742783179,2.6578777777777773,0.2760569269995673,2.7333333333333334,0.3082207001484487,0.0492574444444444,0.0345954847238447,1.8909090909090909,0.1221027882936786,1.9990363636363635,0.1442239180769076,2.081818181818182,0.1887759614897078,0.0424812727272727,0.0326834598171335,1.3571428571428572,0.1869359648250035,1.4690357142857142,0.1470236956681203,1.5714285714285714,0.1540657773039287,0.0593665714285714,0.056695946807665,1.0000000000000002,0.2263846284534354,1.1176,0.1643622859721779,1.2352941176470589,0.1966633432753426,0.0611986470588235,0.0410686457485226,0.905263157894737,0.2548936253300937,1.0189068421052632,0.2501234020561458,1.131578947368421,0.2604539447002896,0.0485937368421052,0.0363732113051504,0.7047619047619049,0.15644868320376,0.8149557142857143,0.1187481422832134,0.9047619047619052,0.1071269829510309,0.0536081904761904,0.0416432987473603,1.0416666666666663,0.2780626558524356,1.123579583333333,0.2683860634054116,1.2333333333333334,0.2929114225312413,0.049461125,0.0276134812055279,1.05,0.30886890422961,1.1459111538461535,0.2986150673402388,1.2730769230769228,0.2721142294077137,0.0547541923076923,0.027968224495694,0.155,3,40,0.0,0.000449,102.42984000000001,102.42984000000001,102.42984000000001,0.17908441790042734,0.17908441790042734,0.17908441790042734,1.0,1.0980000000000132,1.3334521263958186e-07,18.62595419847328,18.10322580645161,3.476923076923077,0.0013886463530529817,0.001376173368872407,16.02275314927032,16.91462531276773,4.732384,4.732384,4.806534,4.806534,1.02308,-0.0899014,-0.111729,-0.444979,0.00901391,0.254798,1.02308,0.0899014,-0.111729,0.444979,0.00901391,-0.254798
51437,IBCAD00CRCUR6,196.5,202.2,210.0,3.3227,RESET:i:GasPanelBarPress1,100.5,100.5,100.5,0.0,PSC:coinc:scaler:rate,3163.9,3369.3,3524.6,86.434,GAS:i::CDC_Temps-CDC_D1_Temp,299.25,299.258,299.35,273.17634,GAS:i::CDC_Temps-CDC_D3_Temp,298.95,298.95,298.95,273.15,GAS:i::CDC_Temps-CDC_D4_Temp,298.95,298.95,298.95,273.15,GAS:i::CDC_Temps-CDC_D5_Temp,298.15,298.16299999999995,298.25,273.183073,753.8123099999999,753.8123099999999,753.8123099999999,0.0,571.98025,101.834,0.340775406773578,5.199999999999999,0.2777460299317651,5.446149999999999,0.3086214324563812,5.775,0.4464142854857067,0.142094875,0.0708570022035074,2.9222222222222225,0.2048034287907418,3.0756444444444444,0.2515149354964387,3.2777777777777777,0.3632415786283897,0.0819287777777777,0.0485678415332042,2.1090909090909093,0.1221027882936788,2.306036363636363,0.1271446756472898,2.481818181818182,0.2315952582337634,0.0935910909090909,0.0705670843289625,1.4428571428571428,0.1696797241605749,1.6395785714285716,0.1178601529752132,1.8571428571428568,0.2651974176527183,0.0894074285714285,0.0574973415087291,1.1,0.1695582495781317,1.2547764705882352,0.1503744473365229,1.5058823529411764,0.2014652210534555,0.0929686470588235,0.0583391699171118,0.9789473684210528,0.2719864117692913,1.12603,0.2452594974489038,1.347368421052631,0.2756173294274178,0.082155947368421,0.0473655812231644,0.8,0.1449137674618943,0.9233971428571428,0.0889184277944035,1.0809523809523809,0.128914885172534,0.0662120952380952,0.0369682513136674,1.1208333333333331,0.3413262708734939,1.24723375,0.3253479321242107,1.3999999999999997,0.3671275101319051,0.070951625,0.0524729340192864,1.1307692307692307,0.3530090432487312,1.272676153846154,0.3217306794830349,1.446153846153846,0.3165195339700464,0.0867383076923076,0.0593901038347428,0.15,11,47,11045.0,0.00039,101.834,101.834,101.834,0.17803761580928715,0.17803761580928715,0.17803761580928715,1.1000000000000227,1.0950000000000273,1.1575104621137921e-07,16.663204747774483,16.044285714285714,4.328846153846154,0.0016164040008310328,0.0016384837995800942,18.29152289680091,20.172095817838848,5.588244874999999,5.588244874999999,5.917094875,5.917094875,1.0117,-0.0635804,-0.101684,-0.465007,0.0052687,0.227823,1.0117,0.0635804,-0.101684,0.465007,0.0052687,-0.227823
